#Step,RG,Etotal,Epot,Ekin,Temperature

1000,19.520,25.375,22.650,2.726,1.817
2000,19.381,23.982,22.131,1.850,1.233
3000,19.048,23.598,21.922,1.675,1.117
4000,18.592,23.438,21.882,1.556,1.037
5000,18.205,23.391,21.844,1.547,1.031
6000,17.822,23.297,21.798,1.499,0.999
7000,17.428,23.309,21.795,1.515,1.010
8000,17.024,23.258,21.730,1.528,1.019
9000,16.604,23.312,21.752,1.560,1.040
10000,16.215,23.274,21.761,1.513,1.009
11000,15.793,23.248,21.724,1.524,1.016
12000,15.533,23.231,21.724,1.507,1.005
13000,15.327,23.231,21.677,1.554,1.036
14000,15.042,23.196,21.712,1.484,0.989
15000,14.688,23.130,21.649,1.482,0.988
16000,14.309,23.118,21.632,1.486,0.991
17000,14.033,23.125,21.652,1.473,0.982
18000,13.788,23.081,21.603,1.478,0.986
19000,13.578,23.070,21.634,1.436,0.957
20000,13.366,23.087,21.631,1.456,0.971
21000,13.193,23.138,21.597,1.540,1.027
22000,13.122,23.198,21.660,1.538,1.025
23000,13.074,23.119,21.657,1.462,0.974
24000,13.065,23.158,21.589,1.569,1.046
25000,12.939,23.109,21.591,1.519,1.012
26000,12.905,23.084,21.585,1.499,0.999
27000,12.891,23.090,21.594,1.496,0.997
28000,12.793,23.089,21.605,1.484,0.989
29000,12.678,23.101,21.587,1.513,1.009
30000,12.551,23.117,21.594,1.523,1.015
31000,12.393,23.107,21.574,1.533,1.022
32000,12.311,23.149,21.596,1.553,1.035
33000,12.336,23.169,21.614,1.555,1.036
34000,12.367,23.140,21.620,1.519,1.013
35000,12.283,23.040,21.589,1.451,0.968
36000,12.118,23.042,21.543,1.499,1.000
37000,12.038,23.095,21.576,1.519,1.013
38000,11.991,23.117,21.587,1.530,1.020
39000,11.949,23.009,21.556,1.454,0.969
40000,11.926,23.076,21.609,1.468,0.978
41000,11.864,23.094,21.601,1.494,0.996
42000,11.879,23.118,21.615,1.503,1.002
43000,11.900,23.092,21.619,1.473,0.982
